epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781145350336,0,0,0,0,0
1781145355356,0,0,0,0,0
1781145360372,0,0,0,0,0
1781145365378,0,0,0,0,0
1781145370391,0,0,0,0,0
1781145375396,0,0,0,0,0
1781145380407,0,0,0,0,0
1781145385423,0,0,0,0,0
1781145390436,0,0,0,0,0
1781145395445,0,0,0,0,0
1781145400450,0,0,0,0,0
1781145405454,0,0,0,0,0
1781145410461,0,0,0,0,0
1781145415473,0,0,0,0,0
1781145420480,0,0,0,0,0
1781145425492,0,0,0,0,0
1781145430519,0,0,0,0,0
1781145435535,0,0,0,0,0
1781145440539,0,0,0,0,0
1781145445550,0,0,0,0,0
1781145450564,0,0,0,0,0
1781145455581,0,0,0,0,0
1781145460586,0,0,0,0,0
1781145465598,0,0,0,0,0
1781145470612,0,0,0,0,0
1781145475626,0,0,0,0,0
1781145480631,0,0,0,0,0
1781145485644,0,0,0,0,0
1781145490673,0,0,0,0,0
1781145495675,0,0,0,0,0
1781145500692,0,0,0,0,0
1781145505695,0,0,0,0,0
1781145510712,0,0,0,0,0
1781145515718,0,0,0,0,0
1781145520738,0,0,0,0,0
1781145525749,0,0,0,0,0
1781145530765,0,0,0,0,0
1781145535769,0,0,0,0,0
1781145540783,0,0,0,0,0
1781145545802,0,0,0,0,0
1781145550811,0,0,0,0,0
1781145555822,0,0,0,0,0
1781145560824,0,0,0,0,0
1781145565831,0,0,0,0,0
1781145570841,0,0,0,0,0
1781145575845,0,0,0,0,0
1781145580858,0,0,0,0,0
1781145585867,0,0,0,0,0
1781145590872,0,0,0,0,0
1781145595884,0,0,0,0,0
1781145600890,0,0,0,0,0
1781145605900,0,0,0,0,0
1781145610904,0,0,0,0,0
1781145615916,0,0,0,0,0
1781145620920,0,0,0,0,0
1781145625933,0,0,0,0,0
1781145630947,0,0,0,0,0
1781145635963,0,0,0,0,0
1781145640980,0,0,0,0,0
1781145645984,0,0,0,0,0
1781145650999,0,0,0,0,0
1781145656007,0,0,0,0,0
1781145661011,0,0,0,0,0
1781145666017,0,0,0,0,0
1781145671030,0,0,0,0,0
1781145676040,0,0,0,0,0
1781145681048,0,0,0,0,0
1781145686059,0,0,0,0,0
1781145691063,0,0,0,0,0
1781145696075,0,0,0,0,0
1781145701085,0,0,0,0,0
1781145706098,0,0,0,0,0
1781145711106,0,0,0,0,0
1781145716123,0,0,0,0,0
1781145721141,0,0,0,0,0
1781145726153,0,0,0,0,0
1781145731170,0,0,0,0,0
1781145736179,0,0,0,0,0
1781145741186,0,0,0,0,0
1781145746193,0,0,0,0,0
1781145751208,0,0,0,0,0
1781145756223,0,0,0,0,0
1781145761235,0,0,0,0,0
1781145766239,0,0,0,0,0
1781145771248,0,0,0,0,0
