epochMs,action,httpCode,ratio,version,invalidCount
1781265664157,ratio-0.5,200,0.5,2,0
1781265666279,ratio-0.1,200,0.1,3,0
1781265668298,ratio-0.5,200,0.5,4,0
1781265670305,ratio-0.1,200,0.1,5,0
1781265672319,ratio-0.5,200,0.5,6,0
1781265674337,ratio-0.1,200,0.1,7,0
1781265676379,ratio-0.5,200,0.5,8,0
1781265678400,ratio-0.1,200,0.1,9,0
1781265680435,ratio-0.5,200,0.5,10,0
1781265682454,ratio-0.1,200,0.1,11,0
1781265684481,ratio-0.5,200,0.5,12,0
1781265686485,ratio-0.1,200,0.1,13,0
1781265688510,ratio-0.5,200,0.5,14,0
1781265690552,ratio-0.1,200,0.1,15,0
1781265692566,ratio-0.5,200,0.5,16,0
1781265694575,ratio-0.1,200,0.1,17,0
1781265696607,ratio-0.5,200,0.5,18,0
1781265698624,ratio-0.1,200,0.1,19,0
1781265700638,ratio-0.5,200,0.5,20,0
1781265702656,ratio-0.1,200,0.1,21,0
1781265704662,ratio-0.5,200,0.5,22,0
1781265706675,ratio-0.1,200,0.1,23,0
1781265708692,ratio-0.5,200,0.5,24,0
1781265710720,ratio-0.1,200,0.1,25,0
1781265712737,ratio-0.5,200,0.5,26,0
1781265714777,ratio-0.1,200,0.1,27,0
1781265716794,ratio-0.5,200,0.5,28,0
1781265718819,ratio-0.1,200,0.1,29,0
1781265720823,ratio-0.5,200,0.5,30,0
1781265722831,ratio-0.1,200,0.1,31,0
1781265724849,ratio-0.5,200,0.5,32,0
1781265726862,ratio-0.1,200,0.1,33,0
1781265728881,ratio-0.5,200,0.5,34,0
1781265730887,ratio-0.1,200,0.1,35,0
1781265732894,ratio-0.5,200,0.5,36,0
1781265734913,ratio-0.1,200,0.1,37,0
1781265736947,ratio-0.5,200,0.5,38,0
1781265738954,ratio-0.1,200,0.1,39,0
1781265740971,ratio-0.5,200,0.5,40,0
1781265742978,ratio-0.1,200,0.1,41,0
1781265744990,ratio-0.5,200,0.5,42,0
1781265746996,ratio-0.1,200,0.1,43,0
1781265749013,ratio-0.5,200,0.5,44,0
1781265751035,ratio-0.1,200,0.1,45,0
1781265753057,ratio-0.5,200,0.5,46,0
1781265755073,ratio-0.1,200,0.1,47,0
1781265757087,ratio-0.5,200,0.5,48,0
1781265759103,ratio-0.1,200,0.1,49,0
1781265761111,ratio-0.5,200,0.5,50,0
1781265763122,ratio-0.1,200,0.1,51,0
1781265765133,ratio-0.5,200,0.5,52,0
1781265767153,ratio-0.1,200,0.1,53,0
1781265769172,ratio-0.5,200,0.5,54,0
1781265771205,ratio-0.1,200,0.1,55,0
1781265773216,ratio-0.5,200,0.5,56,0
1781265775230,ratio-0.1,200,0.1,57,0
1781265777241,ratio-0.5,200,0.5,58,0
1781265779275,ratio-0.1,200,0.1,59,0
1781265781280,ratio-0.5,200,0.5,60,0
1781265783291,ratio-0.1,200,0.1,61,0
1781265785308,ratio-0.5,200,0.5,62,0
1781265787331,ratio-0.1,200,0.1,63,0
1781265789343,ratio-0.5,200,0.5,64,0
1781265791352,ratio-0.1,200,0.1,65,0
1781265793369,ratio-0.5,200,0.5,66,0
1781265795381,ratio-0.1,200,0.1,67,0
1781265797390,ratio-0.5,200,0.5,68,0
1781265799402,ratio-0.1,200,0.1,69,0
1781265801422,ratio-0.5,200,0.5,70,0
1781265803438,ratio-0.1,200,0.1,71,0
1781265805469,ratio-0.5,200,0.5,72,0
1781265807498,ratio-0.1,200,0.1,73,0
1781265809514,ratio-0.5,200,0.5,74,0
1781265811545,ratio-0.1,200,0.1,75,0
1781265813564,ratio-0.5,200,0.5,76,0
1781265815583,ratio-0.1,200,0.1,77,0
1781265817593,ratio-0.5,200,0.5,78,0
1781265819623,ratio-0.1,200,0.1,79,0
1781265821654,ratio-0.5,ERR,,,
1781265823683,ratio-0.1,ERR,,,
1781265825703,ratio-0.5,ERR,,,
1781265837763,ratio-0.1,ERR,,,
